cluster	asv	Phylum	Class	Order	Family	Genus	OTU
C4	asv630	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv630
C4	asv638	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv638
C4	asv639	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv639
C4	asv648	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv648
C4	asv688	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv688
C4	asv703	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv703
C4	asv729	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv729
C4	asv736	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv736
C4	asv766	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv766
C4	asv824	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Thioglobaceae	SUP05 cluster	asv824
C4	asv843	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group	asv843
C4	asv857	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv857
C4	asv900	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv900
C4	asv923	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv923
C4	asv947	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae uc	asv947
C4	asv983	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv983
C4	asv992	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv992
C4	asv999	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv999
C4	asv1019	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1019
C4	asv1125	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv1125
C4	asv1177	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv1177
C4	asv1309	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1309
C4	asv1336	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	asv1336
C4	asv1361	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1361
C4	asv1382	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1382
C4	asv1450	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1450
C4	asv1456	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1456
C4	asv1464	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv1464
C4	asv1472	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv1472
C4	asv1486	Proteobacteria	Alphaproteobacteria	AT-s3-44	AT-s3-44 uc	AT-s3-44 uc	asv1486
C4	asv1555	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	asv1555
C4	asv1603	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	asv1603
C4	asv1645	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv1645
C4	asv1662	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1662
C4	asv1683	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv1683
C4	asv1765	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae uc	asv1765
C4	asv2132	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	asv2132
C4	asv2173	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv2173
C4	asv2207	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv2207
C4	asv2359	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv2359
C4	asv2389	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv2389
C4	asv2408	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv2408
C4	asv2831	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv2831
C4	asv3106	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv3106
C4	asv3297	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Nitrincolaceae uc	asv3297
C4	asv3543	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv3543
C4	asv3578	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv3578
C4	asv3604	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv3604
C4	asv3792	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv3792
C4	asv4232	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv4232
C4	asv4561	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv4561
C4	asv4785	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv4785
C5	asv10	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv10
C5	asv44	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	asv44
C5	asv77	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	asv77
C5	asv246	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv246
C5	asv327	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv327
C5	asv409	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Clade III uc	asv409
C5	asv412	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade uc	asv412
C5	asv460	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv460
C5	asv807	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv807
C5	asv876	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group uc	asv876
C5	asv972	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv972
C5	asv1010	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	SAR116 clade uc	asv1010
C5	asv1243	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv1243
C5	asv1304	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1304
C5	asv1497	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	KI89A clade uc	asv1497
C5	asv2165	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv2165
C5	asv2604	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	asv2604
C5	asv2670	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	asv2670
C5	asv4249	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv4249
C5	asv4293	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv4293
C5	asv4466	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv4466
C5	asv5468	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade III	Clade III uc	asv5468
C5	asv5547	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1 uc	asv5547
C5	asv9578	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv9578
C6	asv52	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	asv52
C6	asv60	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	asv60
C6	asv73	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	asv73
C6	asv180	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophaga	asv180
C6	asv232	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv232
C6	asv390	Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	Marinimicrobia (SAR406 clade) uc	asv390
C6	asv479	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	asv479
C6	asv503	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Marimicrobium	asv503
C6	asv657	Actinobacteriota	Actinobacteria	Actinobacteria uc	Actinobacteria uc	Actinobacteria uc	asv657
C6	asv803	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	asv803
C6	asv903	Bacteroidota	Bacteroidia	Flavobacteriales	NS7 marine group	NS7 marine group uc	asv903
C6	asv1057	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	asv1057
C6	asv1085	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv1085
C6	asv1098	Chloroflexi	Dehalococcoidia	SAR202 clade	SAR202 clade uc	SAR202 clade uc	asv1098
C6	asv1155	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv1155
C6	asv1553	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1553
C6	asv1871	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1871
C6	asv1902	Desulfobacterota	Desulfobacterota uc	Desulfobacterota uc	Desulfobacterota uc	Desulfobacterota uc	asv1902
C6	asv1962	Proteobacteria	Alphaproteobacteria	SAR11 clade	SAR11 clade uc	SAR11 clade uc	asv1962
C6	asv2159	NB1-j	NB1-j uc	NB1-j uc	NB1-j uc	NB1-j uc	asv2159
C6	asv2300	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv2300
C6	asv2474	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	asv2474
C6	asv2515	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	asv2515
C6	asv2945	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	asv2945
C6	asv2961	Planctomycetota	Pla4 lineage	Pla4 lineage uc	Pla4 lineage uc	Pla4 lineage uc	asv2961
C6	asv2989	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv2989
C6	asv3028	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Rubinisphaeraceae uc	asv3028
C6	asv3113	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	asv3113
C6	asv3323	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	asv3323
C6	asv3586	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexaceae uc	asv3586
C6	asv3639	Proteobacteria	Gammaproteobacteria	Francisellales	Francisellaceae	Francisellaceae uc	asv3639
C6	asv4396	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	asv4396
C6	asv4596	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	asv4596
C6	asv4934	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Blastomonas	asv4934
C6	asv4949	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv4949
C6	asv5652	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	asv5652
C6	asv5784	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae uc	asv5784
C6	asv6101	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	asv6101
C6	asv6329	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007 uc	asv6329
C6	asv6412	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae uc	asv6412
C6	asv6909	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	asv6909
C6	asv7275	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	asv7275
C6	asv7737	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales uc	Rickettsiales uc	asv7737
C6	asv8941	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales uc	Rickettsiales uc	asv8941
C6	asv8950	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc	asv8950
C6	asv9064	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	asv9064
C6	asv9121	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Family XI uc	asv9121
C6	asv10535	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	asv10535
C6	asv11029	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116 clade	Cand Puniceispirillum	asv11029
C6	asv12158	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	asv12158
C6	asv12950	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	asv12950
C6	asv14071	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc	asv14071
C6	asv14072	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae uc	asv14072
C6	asv14073	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria uc	Alphaproteobacteria uc	Alphaproteobacteria uc	asv14073
C6	asv14074	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	asv14074
C7	asv99	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter clade NAC11-7 lineage	asv99
C7	asv595	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv595
C7	asv705	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	asv705
C7	asv763	Bacteroidota	Bacteroidia	Flavobacteriales	NS9 marine group	NS9 marine group uc	asv763
C7	asv963	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4 marine group	asv963
C7	asv1115	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02 marine group	asv1115
C7	asv1220	Proteobacteria	Alphaproteobacteria	AT-s3-44	AT-s3-44 uc	AT-s3-44 uc	asv1220
C7	asv1275	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	asv1275
C7	asv1757	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169 marine group	AEGEAN-169 marine group uc	asv1757
C7	asv2153	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria uc	Gammaproteobacteria uc	Gammaproteobacteria uc	asv2153
C7	asv3035	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	asv3035
C7	asv3089	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	asv3089
C7	asv3411	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	asv3411
C7	asv3663	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	asv3663
C7	asv4549	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv4549
C7	asv4645	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	asv4645
C7	asv5432	Proteobacteria	Gammaproteobacteria	Pseudomonadales	SAR86 clade	SAR86 clade uc	asv5432
C7	asv5745	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionellaceae uc	asv5745
C8	asv16	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	asv16
C8	asv46	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	SAR92 clade	asv46
C8	asv51	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae uc	asv51
C8	asv66	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	asv66
C8	asv75	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	asv75
C8	asv90	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade	asv90
C8	asv118	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae uc	asv118
C8	asv169	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	asv169
C8	asv255	Proteobacteria	Gammaproteobacteria	Pseudomonadales	OM182 clade	OM182 clade uc	asv255
C8	asv289	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	asv289
C8	asv401	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	asv401
C8	asv424	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae uc	asv424
C8	asv454	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiotrichaceae uc	asv454
C8	asv463	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	asv463
C8	asv482	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv482
C8	asv521	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae uc	asv521
C8	asv545	SAR324 clade(Marine group B)	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	SAR324 clade(Marine group B) uc	asv545
C8	asv562	Proteobacteria	Gammaproteobacteria	SS1-B-07-19	SS1-B-07-19 uc	SS1-B-07-19 uc	asv562
C8	asv661	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	asv661
C8	asv704	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	asv704
C8	asv784	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	asv784
C8	asv927	Bacteroidota	Bacteroidia	Cytophagales	Cytophagales uc	Cytophagales uc	asv927
C8	asv961	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae uc	asv961
C8	asv1295	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv1295
C8	asv1587	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	asv1587
C8	asv1644	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	asv1644
C8	asv1656	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	asv1656
C8	asv1665	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ia	asv1665
C8	asv1916	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales uc	Chitinophagales uc	asv1916
C8	asv1971	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv1971
C8	asv2226	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	asv2226
C8	asv2291	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales uc	Defluviicoccales uc	asv2291
C8	asv2321	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	asv2321
C8	asv2388	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade II	Clade II uc	asv2388
C8	asv2933	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75 clade	asv2933
C8	asv3301	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae uc	asv3301
C8	asv3453	Actinobacteriota	Actinobacteria	Actinobacteria uc	Actinobacteria uc	Actinobacteria uc	asv3453
C8	asv3774	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	asv3774
C8	asv4955	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Litoricolaceae	Litoricola	asv4955
C8	asv5377	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	asv5377
C8	asv6516	Actinobacteriota	Actinobacteria	PeM15	PeM15 uc	PeM15 uc	asv6516
C8	asv7571	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	asv7571
